prompt,answer
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Pedido Urgente do Cliente: Atualização do Jira Software 8.20
Body: Caro Time de Suporte ao Cliente, Nosso cliente, <name>, solicitou urgentemente que atualizássemos nossa ferramenta de gerenciamento de projetos para o Jira Software 8.20. Eles precisam dessa atualização para acessar os recursos aprimorados do sistema de ticket fornecidos nesta versão. O produto atualmente afetado é o Jira Software usado para gerenciamento de projetos. Por favor, priorize este pedido e nos ajude com os passos necessários para a atualização do software. Se precisar de mais detalhes ou tiver alguma pergunta, entre em contato comigo diretamente pelo <tel_num>. Obrigado pela sua atenção rápida a este assunto. Atenciosamente, <name>.
Language: pt
Business type: Software Development Company

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Assistance Needed for Windows 10 Update Installation Issue
Body: Hello Tech Online Store Support Team, I am experiencing issues while attempting to install Windows 10 updates on my Microsoft Surface Pro 7. The installation process fails each time, and I have tried multiple methods to resolve the issue without success. Could you please provide assistance to resolve this problem? My account number is <acc_num>. You can contact me at <tel_num> for further details. Thank you for your support. Regards, <name>
Language: en
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgente: Problema de Apagado Repentino
Body: Estimado Soporte de Tech Online Store, estoy experimentando problemas de apagado repentino con mi Dell XPS 13 9310. Este incidente necesita una resolución urgente. Por favor, aconseje sobre los próximos pasos. Gracias, <name>
Language: es
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Solicitud de reemplazo de garantía
Body: Estimado cliente del soporte técnico de la tienda en línea,

Estoy escribiendo para solicitar un reemplazo de garantía para mi Canon PIXMA MG3620, ya que ya no imprime de forma inalámbrica. A pesar de numerosos intentos de solución de problemas, no pude resolver el problema. Por favor, guíenme a través del proceso de reemplazo. Mi compra se realizó bajo la cuenta <acc_num>.

Gracias por su ayuda.

Atentamente,
<name>
<tel_num>
Language: es
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Asistencia urgente de AWS necesaria
Body: Estimado equipo de soporte de servicios de TI,

Mi nombre es <name>, y necesito urgentemente asistencia con respecto a los servicios de gestión de AWS. Actualmente estamos enfrentando dificultades para optimizar nuestros costos de AWS y necesitamos ayuda para desplegar una nueva infraestructura escalable. Esto está afectando críticamente nuestras operaciones y requiere atención inmediata.

¿Podrían, por favor, agilizar esta solicitud y proporcionar el apoyo necesario lo antes posible? Si es necesario, puedo ser contactado al <tel_num> para más detalles.

Espero su rápida asistencia.

Atentamente,
<name>
Language: es
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Hilfe bei Problemen mit der Installation des Windows 10 Updates benötigt
Body: Hallo Tech Online Store Support Team, ich habe Probleme, während ich versuche, Windows 10 Updates auf meinem Microsoft Surface Pro 7 zu installieren. Der Installationsprozess schlägt jedes Mal fehl, und ich habe mehrere Methoden ausprobiert, um das Problem zu lösen, jedoch ohne Erfolg. Könnten Sie bitte Unterstützung bieten, um dieses Problem zu lösen? Meine Kontonummer ist <acc_num>. Sie können mich unter <tel_num> für weitere Details kontaktieren. Vielen Dank für Ihre Unterstützung. Mit freundlichen Grüßen, <name>
Language: de
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema de sonido Dell XPS
Body: Problema con el sonido, manejando como devolución. Dentro de 30 días.
Language: es
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Solicitação de Troca do Canon PIXMA MG3620
Body: Olá, estou enfrentando problemas de conectividade com meu Canon PIXMA MG3620 ao tentar imprimir sem fio. Gostaria de solicitar a devolução ou troca deste equipamento. Por favor, me ajude com o processo. Obrigado.
Language: pt
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Austausch Anfrage Aufgrund Mehrerer Probleme
Body: Sehr geehrter Kundenservice,

Ich habe Probleme mit meinem HP DeskJet 3755. Es hat eine schlechte WLAN-Verbindung und häufige Papierstaus. Ich möchte einen Austausch beantragen. Bitte kontaktieren Sie mich unter <tel_num> bezüglich dieses Anliegens.

Danke,
<name>
Language: de
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgente: Problema de Downtime do Banco de Dados MySQL 8.0.30
Body: Nosso banco de dados principal de clientes, rodando MySQL 8.0.30, está atualmente fora do ar. Isso levou a problemas significativos de tempo de atividade que afetam vários de nossos serviços e operações. Precisamos de suporte urgente para resolver essa questão rapidamente.
Language: pt
Business type: IT Consulting Firm

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problème d'erreur de serveur
Body: Cher support client,

Notre service de conseil en informatique rencontre une erreur de serveur lors de l'extraction des documents d'archives utilisateurs en utilisant Slack. Les produits concernés incluent la vidéoconférence, les webinaires, le partage d'écran et le chat.

Veuillez nous aider rapidement.

Merci,
<name>
Language: fr
Business type: IT Services

Answer:",Service Outages and Maintenance
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Asistencia Necesaria para los Bloqueos de Chrome
Body: Estimado Cliente de Tech Online Store, Me dirijo a usted para informarle que estoy experimentando bloqueos constantes con Google Chrome 102.0 en mi ordenador portátil con Windows 11. El navegador se cierra frecuentemente durante su uso, afectando gravemente mi flujo de trabajo. ¿Podría investigar y proporcionar asistencia adecuada? Cualquier ayuda para resolver este problema sería muy apreciada. Si necesita información adicional, por favor hágamelo saber. Gracias por su apoyo. Saludos cordiales, <name>
Language: es
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Häufige VPN-Probleme mit Lenovo XPS 13
Body: Sehr geehrter Tech Online Store Support,

Wir haben häufige VPN-Verbindungsprobleme mit unserem Dell XPS 13 9310. Dieses Problem stört wichtige Remote-Zuweisungen. Wir benötigen dringend Hilfe, um dieses Problem zu lösen.

Danke,
<name>
<name>
<email>
Language: de
Business type: Tech Online Store

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problem mit der drahtlosen Funktion des HP DeskJet 3755
Body: Sehr geehrter Kunde des Tech Online Store, ich kann meinen HP DeskJet 3755 nicht mit mobilen Geräten über die drahtlose Funktion verbinden. Bitte helfen Sie mir, dieses Problem zu lösen. Vielen Dank! Mit freundlichen Grüßen, <name>
Language: de
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Consulta sobre cobranças de faturamento para o Adobe Photoshop 2024
Body: Caro Time de Suporte ao Cliente,

Recentemente, comprei uma licença para o Adobe Photoshop 2024. No entanto, estou vendo cobranças inesperadas na minha fatura. Você poderia fornecer mais detalhes ou esclarecer essas cobranças?

Obrigado,
<name>
<email>
Language: pt
Business type: Tech Online Store

Answer:",Billing and Payments
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Solicitud de actualización para Surface Pro 7
Body: Estimado equipo de Servicios de TI,

Estoy escribiendo para solicitar una actualización a la última versión estable del software de Windows para mi Microsoft Surface Pro 7. Creo que esta actualización mejorará su rendimiento y me proporcionará nuevas características. Por favor, háganme saber los pasos o requisitos necesarios para proceder.

Gracias,
<name>
<email>
Language: es
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problème d'impression sans fil
Body: Cher magasin en ligne Tech, J'éprouve un problème avec mon imprimante HP DeskJet 3755. Elle affiche une erreur de connexion lorsque j'essaie de me connecter à mon réseau Wi-Fi. Veuillez m'aider à résoudre ce problème. Cordialement, <name>.
Language: fr
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Dringend: Problem mit langsamen Startzeiten beim MacBook Air M1
Body: Sehr geehrter Kundenservice,

ich habe letzte Woche ein MacBook Air M1 in Ihrem Geschäft gekauft. Leider habe ich sehr langsame Startzeiten mit dem Gerät.

Bitte helfen Sie mir, dieses Problem zu lösen. Meine Bestellnummer ist <order_num>.

Vielen Dank,
<name>
Language: de
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Asistencia con la actualización del pago
Body: Estimado Servicio al Cliente,

Necesito asistencia para actualizar el método de pago de mi suscripción a Microsoft Office 365 en mi cuenta. Mi método de pago actual está desactualizado y no puedo hacer ningún cambio en mi suscripción. Mi número de cuenta es <acc_num>. Por favor, guíenme a través de los pasos necesarios para actualizar esta información a la brevedad.

Gracias,
<name>
Language: es
Business type: Tech Online Store

Answer:",Billing and Payments
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problèmes persistants avec l'impression sans fil
Body: Cher support client,

J'éprouve des problèmes de connexion sans fil persistants avec ma toute nouvelle HP DeskJet 3755. Malgré le suivi attentif des instructions initiales fournies, je ne parviens pas à établir une connexion fiable pour l'impression sans fil. Ce problème cause un désagrément important. Pourriez-vous m'aider à résoudre ce problème dans les plus brefs délais ? Mon numéro de compte est <acc_num>. Votre réponse rapide serait grandement appréciée.

Merci,
<name>
Contact : <tel_num>
Language: fr
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Zoom-Call-Probleme
Body: Sehr geehrter Kundenservice,\n\nUnser HR-Team hat häufige Anrufabbrüche und schlechte Videoqualität während Meetings mit Zoom 5.11.0 erlebt. Dies beeinträchtigt unsere Produktivität erheblich. Bitte helfen Sie uns, diese Probleme so schnell wie möglich zu lösen.\n\nMit freundlichen Grüßen,\n<name>\n<position>\n<phone number>\n<company>
Language: de
Business type: IT Services

Answer:",Human Resources
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Syntax-Highlighting-Problem
Body: Liebes Support-Team, ich habe ein Problem mit der Syntax-Hervorhebung für Python-Dateien nach dem letzten Update von Visual Studio Code 1.70. Könnten Sie bitte bei der Fehlersuche zu diesem Problem helfen? Vielen Dank für Ihre Unterstützung. Mit freundlichen Grüßen, <name>
Language: de
Business type: Software Development Company

Answer:",General Inquiry
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema de pantalla táctil no responsive en Surface Pro 7
Body: Estimado Servicio al Cliente,

Estoy experimentando una pantalla táctil que no responde en mi Microsoft Surface Pro 7. A pesar de múltiples reinicios, el problema persiste. Su asistencia para resolver este problema sería muy apreciada. Gracias.

Atentamente,
<name>
Language: es
Business type: IT Services

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Conexão Sem Fio Defeituosa da Canon PIXMA MG3620
Body: Caro Suporte da Loja Online de Tecnologia,

Recentemente comprei uma impressora Canon PIXMA MG3620 na sua loja, mas, infelizmente, encontrei um problema com sua conexão sem fio. A impressora frequentemente desconecta do Wi-Fi, tornando impossível o uso. Tentei várias etapas de solução de problemas, mas sem sucesso. Você poderia me ajudar a processar a troca ou unidade de substituição?

Meu número de conta é <acc_num>. Você pode me contatar pelo <tel_num> se mais informações forem necessárias.

Obrigado pela sua assistência.

Atenciosamente,
<name>
Language: pt
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problem mit Zoom 5.11.0 während des Webinars
Body: Sehr geehrter Support, während unseres kürzlichen Webinars mit Zoom 5.11.0 hatten die Teilnehmer wiederholt Audioaussetzer und Verbindungsprobleme. Bitte leiten Sie uns an, wie wir dieses dringende Anliegen lösen können. Danke, <name>
Language: de
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Cargos excesivos en la suscripción anual de Microsoft Office 365
Body: Estimado cliente del soporte al cliente de Tech Online Store,

Recientemente noté un cargo excesivo en mi suscripción anual de Microsoft Office 365 para los servicios en la nube de nuestro equipo. ¿Podría ayudarme a resolver este problema?

Mi número de cuenta es <acc_num>. Agradecería una pronta resolución.

Gracias,
<name>
<tel_num>
Language: es
Business type: Tech Online Store

Answer:",Billing and Payments
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Defective Dell XPS 13 9310
Body: Dear Tech Online Store Support,

I received a Dell XPS 13 9310 with a defective display. Please arrange an exchange at the earliest convenience. My order number is <order_num>. Feel free to contact me at <email> or <tel_num> if you need further information.

Best,
<name>
Language: en
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: High-Priority Assistance Needed for Visual Studio Code Issues
Body: Dear Customer Support, I'm facing debugging issues in applications using Visual Studio Code 1.70 on HR-managed devices. Immediate help is required. Regards, <name>
Language: en
Business type: IT Services

Answer:",Human Resources
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Issue with Jira Software
Body: Dear Customer Support, 

We are currently facing an issue with the Human Resources queue where medium priority tasks are unable to transition to the next status in Jira Software 8.20. This issue is causing significant delays in our workflow. Please assist us in resolving this matter at the earliest. For reference, our account number is <acc_num>. You can contact me directly at <tel_num>. Looking forward to your prompt response. Thank you.

Best regards,
<name>
Language: en
Business type: IT Services

Answer:",Human Resources
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Anfrage zur Aktualisierung von Jira
Body: Sehr geehrter Kundensupport,

ich schreibe, um eine Aktualisierung auf Jira Software Version 8.20 anzufordern, um die neuen Confluence-Integrationen für ein verbessertes Projektmanagement zu nutzen. Die zusätzlichen Funktionen sind entscheidend für die Steigerung der Produktivität unseres Teams.

Vielen Dank für Ihre Unterstützung.

Mit freundlichen Grüßen,
<name>
Language: de
Business type: Software Development Company

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Bluescreen-Fehler auf Dell XPS 13
Body: Sehr geehrter Tech Online Store Kundenservice,

ich habe ein Bluescreen-Fehler auf meinem Dell XPS 13 9310 mit einer Hochleistungs-Konfiguration, die Windows 10 ausführt. Bitte helfen Sie mir, dieses Problem so schnell wie möglich zu beheben.

Mit freundlichen Grüßen,
<name>
<acc_num>
Language: de
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: No sound issue after update
Body: Customer reports no sound from Samsung QLED QN90A after a firmware update. Needs urgent resolution.
Language: en
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Abrechnungsproblem
Body: Sehr geehrter Kundenservice, ich habe ein Abrechnungsproblem festgestellt, während ich ein neues Abonnement für Adobe Photoshop 2024 über Ihr Online-Zahlungsportal erworben habe. Mein Konto wurde fälschlicherweise belastet. Bitte helfen Sie, dieses Problem zu beheben. Sie erreichen mich unter <tel_num>. Mit freundlichen Grüßen, <name>
Language: de
Business type: Software Development Company

Answer:",Billing and Payments
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Consulta sobre a identificação do método do resolvedor de URL
Body: Olá,

Estou escrevendo para perguntar sobre o método do resolvedor de URL usado em seu produto 'Verificação de danos apenas'. Você poderia fornecer informações e documentação sobre seus detalhes e como ele pode ser identificado? Qualquer assistência que você puder fornecer seria muito apreciada. Obrigado pelo seu tempo e apoio.

Atenciosamente,
<name>
Language: pt
Business type: Software Development Company

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Solicitud de consulta urgente
Body: Estimado equipo de soporte al cliente <name>,

Urgentemente necesitamos sus servicios de consultoría de TI para mejorar la administración de los servidores para nuestro departamento de ventas. Su experiencia es crucial. Por favor, contáctenos a la brevedad posible.

Atentamente,
<name>
<tel_num>
Language: es
Business type: IT Consulting Firm

Answer:",Sales and Pre-Sales
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Intermittent connectivity issues with Cisco Router ISR4331
Body: Router ISR4331 is experiencing connectivity issues, impacting network performance and user access. Need your support.
Language: en
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgente: Problema de Conectividad del Router
Body: Estimado Soporte de Servicios de TI,

Estamos experimentando desconexiones frecuentes con nuestro Router Cisco ISR4331, lo que está interrumpiendo gravemente nuestros servicios de red. Este problema requiere una solución inmediata para mantener una conectividad empresarial estable.

Por favor, indaguelo con urgencia.

Atentamente,
<name>
Número de Cuenta: <acc_num>
Teléfono: <tel_num>
Language: es
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgent : Débogueur PyCharm 2024.2 en panne
Body: PyCharm 2024.2 plante fréquemment lors du débogage de projets Python.
Language: fr
Business type: Software Development Company

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgent Issue: Adobe Photoshop 2024 Crashing on Startup
Body: Dear Support Team, 

I am experiencing continuous crashes with Adobe Photoshop 2024 after the recent update. This issue is significantly impacting my work. I request an urgent resolution. My details are as follows: 

Name: <name>, 
Phone: <tel_num>, 
Account Number: <acc_num>. 
Thank you for your prompt assistance.

Best Regards, 
<name>
Language: en
Business type: IT Services

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Anfrage zur Rücksendung eines defekten MacBook Air
Body: Hallo, ich habe ein MacBook Air M1 in Ihrem Geschäft gekauft und einen Defekt beim Touchpad des Geräts festgestellt. Bitte helfen Sie mir mit dem Rückgabeprozess. Meine Bestellnummer ist <acc_num>. Vielen Dank, <name>, <tel_num>.
Language: de
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Issue with Dell XPS 13 9310 Overheating
Body: The Dell XPS 13 9310 is overheating during regular use. Seeking guidance and a prompt resolution, please.
Language: en
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Asistencia y Optimización para la Infraestructura de AWS
Body: Estimado Soporte al Cliente, necesitamos ayuda experta para configurar y optimizar nuestra oferta de Servicio de Gestión de AWS para un cliente. Nuestro objetivo es mejorar el rendimiento y reducir costos. Esperamos su pronta asistencia. Atentamente, <name>
Language: es
Business type: IT Consulting Firm

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgent : Problème de temps de démarrage lent sur MacBook Air M1
Body: Cher Support Client,

J'ai récemment acheté un MacBook Air M1 la semaine dernière dans votre magasin. Malheureusement, je rencontre des temps de démarrage très lents avec l'appareil.

Veuillez m'aider à résoudre ce problème. Mon numéro de commande est <order_num>.

Merci,
<name>
Language: fr
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Request to Upgrade Jira
Body: Dear Customer Support,

I am writing to request an upgrade to Jira Software version 8.20 to leverage new Confluence integrations for improved project management. The additional features are essential for enhancing our team's productivity.

Thank you for your assistance.

Best regards,
<name>
Language: en
Business type: Software Development Company

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Überhitzungsproblem mit Dell XPS 13 9310 nach Nutzung
Body: Liebes Support-Team, ich habe kürzlich einen Dell XPS 13 9310 gekauft und habe nach ungefähr einer Stunde Nutzung Überhitzungsprobleme. Bitte helfen Sie mir, dieses Problem zu lösen. Ich freue mich auf Ihre schnelle Antwort. Mit freundlichen Grüßen, <name>.
Language: de
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Besoin d'aide
Body: Bonjour, j'ai récemment acheté un nouveau MacBook Air M1 chez Tech Online Store. J'ai des difficultés avec le processus d'installation. Pourriez-vous m'aider avec ce problème ? Merci ! Cordialement, <name>.
Language: fr
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Dringende Anfrage für Beratung
Body: Sehr geehrtes <name> Kundenserviceteam,

Wir benötigen dringend Ihre IT-Beratungsdienste zur Verbesserung der Serveradministration für unsere Verkaufsabteilung. Ihre Expertise ist entscheidend. Bitte kontaktieren Sie uns so schnell wie möglich.

Mit freundlichen Grüßen,
<name>
<tel_num>
Language: de
Business type: IT Consulting Firm

Answer:",Sales and Pre-Sales
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Anforderung für die Einrichtung eines neuen E-Mail-Servers
Body: Sehr geehrtes IT-Services-Support-Team,

Unser Kunde, <name>, hat die Hinzufügung eines neuen E-Mail-Servers zu seinem bestehenden Netzwerk angefordert. Wir benötigen Ihre Expertise für die Einrichtung und den Test der Integration.

Vielen Dank,
<name>
Kontonummer: <acc_num>
Telefon: <tel_num>
Language: de
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Anfrage zur Änderung der Lieferadresse
Body: Sehr geehrter Kundenservice,

ich hoffe, diese Nachricht erreicht Sie wohl. Ich habe kürzlich eine Bestellung für ein Dell XPS 13 9310 Laptop aufgegeben. Leider muss ich die Lieferadresse, die mit dieser Bestellung verbunden ist, ändern. Meine Kontonummer ist <acc_num>. Könnten Sie bitte die Lieferadresse auf die folgende aktualisieren: <new_address>? Bitte lassen Sie mich wissen, ob Sie weitere Informationen von mir benötigen.

Vielen Dank für Ihre Aufmerksamkeit in dieser Angelegenheit. Ich freue mich auf Ihre umgehende Antwort.

Mit freundlichen Grüßen,
<name>
<tel_num>
Language: de
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Request for Surface Pro 7 Upgrade
Body: Dear IT Support Team,

I am writing to request an update to the most recent stable version of the Windows operating system for my Microsoft Surface Pro 7. I believe that this update will improve its performance and unlock additional features. Kindly inform me of the necessary steps or requirements to move forward.

Thank you,
<name>
<email>
Language: en
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Dell XPS 13 9310: Problemas con el touchpad y sobrecalentamiento
Body: Estimado Servicio al Cliente, soy propietario de un Dell XPS 13 9310 y he estado experimentando problemas con el touchpad y sobrecalentamiento desde una reciente actualización del sistema. Estos problemas impactan significativamente mi flujo de trabajo. ¿Podrían proporcionarme orientación o una solución? Agradecería mucho su ayuda para resolver este asunto. Gracias. Atentamente, <name>
Language: es
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Ajuda Urgente Necessária
Body: Preciso de ajuda urgente para recuperar arquivos que foram excluídos acidentalmente do Google Drive no plano Business Standard.
Language: pt
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Código de Error E5: Impresora HP DeskJet 3755
Body: El cliente está experimentando errores de atascos de papel al iniciar un trabajo de impresión.
Language: es
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Immediate Assistance Required: Jira Software Issues
Body: Dear Customer Support, 

I am writing to report issues with our project tracking and Scrum boards after a recent system update. We are using Jira Software 8.20. Project tracking and Scrum boards have failed. This problem needs an immediate solution. Please look into the matter urgently.

Thank you,

<name>
Account Number: <acc_num>
Phone: <tel_num>
Language: en
Business type: IT Consulting Firm

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema no Photoshop 2024
Body: Oi <name>, Estou enfrentando um problema com a ferramenta borracha no Adobe Photoshop 2024. Muitas vezes, ela não funciona corretamente, afetando minhas tarefas diárias. Por favor, me ajude a solucionar esse problema. Obrigado, <name>.
Language: pt
Business type: IT Services

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Solicitud de intercambio de Canon PIXMA MG3620
Body: Hola, estoy experimentando problemas de conectividad con mi Canon PIXMA MG3620 mientras intento imprimir de forma inalámbrica. Me gustaría solicitar la devolución o el intercambio de esta unidad. Por favor, ayúdame con el proceso. Gracias.
Language: es
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Assistance requise pour des problèmes persistants de bourrage papier avec l'imprimante Canon
Body: Cher Support Client,

Je vous écris pour signaler des problèmes persistants de bourrage papier avec mon imprimante Canon PIXMA MG3620. Le problème se produit lors de l'impression de documents légers de caisse. J'ai veillé à ce que le papier ne soit pas surchargé et j'ai également vérifié s'il y avait des obstructions visibles. Malgré ces efforts, le problème persiste. Pourriez-vous me fournir une assistance supplémentaire ou suggérer d'autres étapes de dépannage ? Le numéro de série de mon imprimante est <acc_num>.

Merci pour votre attention rapide à cette affaire.

Cordialement,
<name>
<tel_num>
Language: fr
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Keyboard Connection Issue
Body: Dear Customer Support,

I am writing to inform you about a persistent issue I am facing with my Microsoft Surface Pro 7. Following the latest firmware update, the detachable keyboard is repeatedly failing to connect properly. This problem has been ongoing and significantly impacts my productivity. I have tried all recommended troubleshooting steps, but nothing seems to resolve the issue. Could you please provide guidance on how to address this problem? My account number is <acc_num>. You can reach me at <tel_num> or via email for any further information. Your prompt assistance would be greatly appreciated.

Best regards,
<name>
Language: en
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problème de facturation
Body: Cher service client, j'ai rencontré un problème de facturation lors de l'achat d'un nouvel abonnement à Adobe Photoshop 2024 via votre portail de paiement en ligne. Mon compte a été facturé incorrectement. Veuillez m'aider à rectifier ce problème. Vous pouvez me contacter au <tel_num>. Cordialement, <name>
Language: fr
Business type: Software Development Company

Answer:",Billing and Payments
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Issues with Outlook on Microsoft Office 365
Body: Dear customer support, I'm experiencing issues with Outlook email client displaying an alternate view and am unable to manage folders. This is causing high-priority email communication failures. Please provide a resolution urgently. Best, <name>
Language: en
Business type: IT Consulting Firm

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Printer can't connect to Wi-Fi
Body: The HP DeskJet 3755 is unable to connect.
Language: en
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Performance Optimization Request for Ticket System
Body: Dear Customer Support,<br><br>We are in need of performance optimization for our existing ticket system along with guidance on efficient server load distribution. The issues are affecting our IT Consulting Service and need urgent attention.<br><br>Thank you for your assistance.<br><br>Best regards,<br><name>
Language: en
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgent : Assistance immédiate requise pour un problème d'interruption du serveur
Body: Cher service client de support informatique,

Notre serveur, qui affecte notre système de billetterie, a connu une interruption inattendue aujourd'hui. Ce problème est crucial car il impacte nos opérations de service de conseil informatique. Nous avons besoin d'un support technique d'urgence pour résoudre le problème et rétablir la fonctionnalité normale.

Veuillez donner la priorité à cette demande et fournir une assistance immédiate.

Merci,

<name>
Language: fr
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Diagnostics matériels immédiats pour Dell XPS 13 9310
Body: Bonjour, je rencontre un problème de scintillement de l'écran sur mon Dell XPS 13 9310. Pourriez-vous s'il vous plaît organiser des diagnostics matériels immédiats et une réparation pour ce problème ? Mon numéro de compte est <acc_num>. Merci pour votre assistance rapide. Cordialement, <name>
Language: fr
Business type: Tech Online Store

Answer:",Customer Service
